variable,code,label,ordinal_rank
GenHlth,1,Excellent,1
GenHlth,2,Very good,2
GenHlth,3,Good,3
GenHlth,4,Fair,4
GenHlth,5,Poor,5
Age,1,18-24 years,1
Age,2,25-29 years,2
Age,3,30-34 years,3
Age,4,35-39 years,4
Age,5,40-44 years,5
Age,6,45-49 years,6
Age,7,50-54 years,7
Age,8,55-59 years,8
Age,9,60-64 years,9
Age,10,65-69 years,10
Age,11,70-74 years,11
Age,12,75-79 years,12
Age,13,80 years or older,13
Education,1,Never attended school or only kindergarten,1
Education,2,Elementary (grades 1-8),2
Education,3,Some high school (grades 9-11),3
Education,4,High school graduate (grade 12 or GED),4
Education,5,Some college or technical school (1-3 years),5
Education,6,College graduate (4 years or more),6
Income,1,Less than USD 10000,1
Income,2,USD 10000 to less than 15000,2
Income,3,USD 15000 to less than 20000,3
Income,4,USD 20000 to less than 25000,4
Income,5,USD 25000 to less than 35000,5
Income,6,USD 35000 to less than 50000,6
Income,7,USD 50000 to less than 75000,7
Income,8,USD 75000 to less than 100000,8
Income,9,USD 100000 to less than 150000,9
Income,10,USD 150000 to less than 200000,10
Income,11,USD 200000 or more,11
Sex,0,Female,1
Sex,1,Male,2
Diabetes_binary,0,No diabetes,1
Diabetes_binary,1,Prediabetes or diabetes,2
